,participant,block,taskID,stimulus_ID,stimulus_distractor,stimulus_congruency,response_ID,accuracy,rt
274,6004,1,spatial,L,L,C,L,1,362.31
275,6004,1,spatial,R,L,I,R,1,325.95
276,6004,1,spatial,L,L,C,L,1,281.09
277,6004,1,spatial,R,L,I,R,1,306.92
278,6004,1,spatial,L,L,C,L,1,285.7
279,6004,1,spatial,R,L,I,R,1,397.72
280,6004,1,spatial,L,R,I,L,1,274.94
281,6004,1,spatial,L,L,C,L,1,394.14
282,6004,1,spatial,L,R,I,L,1,279.01
283,6004,1,spatial,R,L,I,R,1,336.37
284,6004,1,spatial,L,L,C,L,1,261.22
285,6004,1,spatial,L,R,I,L,1,333.5
286,6004,1,spatial,R,L,I,R,1,319.9
287,6004,1,spatial,L,L,C,L,1,243.98
288,6004,1,spatial,R,L,I,R,1,316.59
289,6004,1,spatial,L,L,C,L,1,318.72
290,6004,1,spatial,R,L,I,R,1,313.02
291,6004,1,spatial,L,L,C,L,1,260.61
292,6004,1,spatial,R,R,C,R,1,317.61
293,6004,1,spatial,L,L,C,L,1,265.23
294,6004,1,spatial,L,R,I,L,1,376.62
295,6004,1,spatial,R,L,I,R,1,355.68
296,6004,1,spatial,L,L,C,L,1,256.3
297,6004,1,spatial,R,R,C,R,1,360.22
298,6004,1,spatial,L,L,C,L,1,269.02
299,6004,1,spatial,R,L,I,R,1,357.03
300,6004,1,spatial,L,R,I,L,1,275.76
301,6004,1,spatial,R,L,I,R,1,262.33
302,6004,1,spatial,R,R,C,R,1,444.19
303,6004,1,spatial,L,R,I,L,1,282.03
304,6004,1,spatial,R,L,I,R,1,378.52
305,6004,1,spatial,R,R,C,R,1,373.11
306,6004,1,spatial,L,L,C,L,1,258.09
307,6004,1,spatial,R,L,I,R,1,283.84
308,6004,1,spatial,L,L,C,L,1,254.92
309,6004,1,spatial,L,R,I,L,1,352.92
310,6004,1,spatial,L,L,C,L,1,315.93
311,6004,1,spatial,L,R,I,L,1,263.63
312,6004,1,spatial,R,R,C,R,1,320.52
